housing_age,income,bedrooms,households,rooms,house_value
23,6.777,.141111789859499,2.44224422442244,8.1039603960396,500000
49,6.0199,.160983789826719,2.72668810289389,5.7524115755627,500000
35,5.1155,.249061326658323,1.90267639902676,3.88807785888078,500000
32,4.7109,.231382978723404,1.9136690647482,4.5083932853717,500000
21,4.5625,.255583126550869,3.09266409266409,4.66795366795367,500000
38,4.3403,.26835043409629,1.768,5.068,500000
25,3.9696,.116477272727273,2.91176470588235,10.3529411764706,500000
34,3.7306,.272993311036789,1.50726978998385,3.8642972536349,500000
29,3.625,.258111556689756,1.62672811059908,4.21351766513057,500000
29,3.6121,.277359583092067,1.71925754060325,4.00696055684455,500000
31,3.5744,.251750899110354,2.09535066981876,4.16312056737589,500000
25,3.5556,.258405003909304,1.86006289308176,4.02201257861635,500000
44,2.6103,.295529801324503,2.03030303030303,4.06734006734007,500000
26,2.3536,.353786622443339,3.9734375,2.8265625,500000
20,2.2444,.375408375408375,2.35809018567639,2.97701149425287,500000
26,1.9891,.27771040504487,1.90279329608939,4.60670391061453,500000
19,1.2656,.304878048780488,1.43352601156069,3.79190751445087,500000
28,6.7861,.146739130434783,2.25182481751825,7.38686131386861,499100
18,8.1489,.151702786377709,2.22615803814714,6.6008174386921,499000
29,8.248,.138303341902314,3.00363636363636,7.07272727272727,498800
40,7.2692,.156980864635011,2.19082125603865,6.81642512077295,498700
33,5.738,.183804627249357,1.98461538461538,5.98461538461538,497600
40,3.5637,.246414602346806,1.71223021582734,4.41438848920863,497400
21,7.9135,.14018018018018,2.44571428571429,7.92857142857143,496400
33,6.597,.135957066189624,2.63179916317992,7.01673640167364,496400
17,5.9285,.160831509846827,2.34204275534442,6.51306413301663,496000
44,6.7058,.156518861681006,2.58909853249476,6.33542976939203,495900
21,4.3125,.19402460456942,2.396,11.38,495800
36,8.0499,.171736282928249,1.96106194690265,6.08053097345133,495600
38,3.6181,.259600269481249,1.66515013648772,4.05186533212011,495600
33,5.9683,.1726307510814,2.63942307692308,6.11298076923077,495500
31,5.4591,.16916403785489,2.33490566037736,5.9811320754717,495500
33,4.537,.247286455875413,1.8752688172043,4.55698924731183,495500
